Aasta;Maakond;Kuu;Arv
2011;..Tallinn;Märts;145
2011;Hiiu maakond;Märts;1
2011;Ida-Viru maakond;Märts;44
2011;Jõgeva maakond;Märts;5
2011;Järva maakond;Märts;4
2011;Lääne maakond;Märts;4
2011;Lääne-Viru maakond;Märts;4
2011;Põlva maakond;Märts;1
2011;Pärnu maakond;Märts;16
2011;Rapla maakond;Märts;6
2011;Saare maakond;Märts;6
2011;Tartu maakond;Märts;31
2011;Valga maakond;Märts;3
2011;Viljandi maakond;Märts;4
2011;Võru maakond;Märts;2
2012;Harju maakond;Märts;134
2012;..Tallinn;Märts;126
2012;Hiiu maakond;Märts;0
2012;Ida-Viru maakond;Märts;36
2012;Jõgeva maakond;Märts;3
2012;Järva maakond;Märts;5
2012;Lääne maakond;Märts;4
2012;Lääne-Viru maakond;Märts;11
2012;Põlva maakond;Märts;6
2012;Pärnu maakond;Märts;13
2012;Rapla maakond;Märts;5
2012;Saare maakond;Märts;6
2012;Tartu maakond;Märts;34
2012;Valga maakond;Märts;6
2012;Viljandi maakond;Märts;7
2012;Võru maakond;Märts;4
2013;Harju maakond;Märts;146
2013;..Tallinn;Märts;129
2013;Hiiu maakond;Märts;1
2013;Ida-Viru maakond;Märts;39
2013;Jõgeva maakond;Märts;0
2013;Järva maakond;Märts;3
2013;Lääne maakond;Märts;2
2013;Lääne-Viru maakond;Märts;8
2013;Põlva maakond;Märts;2
2013;Pärnu maakond;Märts;19
2013;Rapla maakond;Märts;3
2013;Saare maakond;Märts;4
2013;Tartu maakond;Märts;41
2013;Valga maakond;Märts;7
2013;Viljandi maakond;Märts;1
2013;Võru maakond;Märts;4
2014;Harju maakond;Märts;152
2014;..Tallinn;Märts;147
2014;Hiiu maakond;Märts;1
2014;Ida-Viru maakond;Märts;38
2014;Jõgeva maakond;Märts;4
2014;Järva maakond;Märts;4
2014;Lääne maakond;Märts;4
2014;Lääne-Viru maakond;Märts;14
2014;Põlva maakond;Märts;5
2014;Pärnu maakond;Märts;15
2014;Rapla maakond;Märts;3
2014;Saare maakond;Märts;4
2014;Tartu maakond;Märts;25
2014;Valga maakond;Märts;2
2014;Viljandi maakond;Märts;8
2014;Võru maakond;Märts;4
2015;Harju maakond;Märts;137
2015;..Tallinn;Märts;135
2015;Hiiu maakond;Märts;0
2015;Ida-Viru maakond;Märts;36
2015;Jõgeva maakond;Märts;7
2015;Järva maakond;Märts;7
2015;Lääne maakond;Märts;2
2015;Lääne-Viru maakond;Märts;13
2015;Põlva maakond;Märts;5
2015;Pärnu maakond;Märts;20
2015;Rapla maakond;Märts;9
2015;Saare maakond;Märts;4
2015;Tartu maakond;Märts;38
2015;Valga maakond;Märts;3
2015;Viljandi maakond;Märts;9
2015;Võru maakond;Märts;2
2016;Harju maakond;Märts;140
2016;..Tallinn;Märts;135
2016;Hiiu maakond;Märts;1
2016;Ida-Viru maakond;Märts;40
2016;Jõgeva maakond;Märts;1
2016;Järva maakond;Märts;5
2016;Lääne maakond;Märts;2
2016;Lääne-Viru maakond;Märts;12
2016;Põlva maakond;Märts;6
2016;Pärnu maakond;Märts;15
2016;Rapla maakond;Märts;9
2016;Saare maakond;Märts;5
2016;Tartu maakond;Märts;24
2016;Valga maakond;Märts;6
2016;Viljandi maakond;Märts;14
2016;Võru maakond;Märts;6
2017;Harju maakond;Märts;153
2017;..Tallinn;Märts;146
2017;Hiiu maakond;Märts;0
2017;Ida-Viru maakond;Märts;34
2017;Jõgeva maakond;Märts;3
2017;Järva maakond;Märts;6
2017;Lääne maakond;Märts;3
2017;Lääne-Viru maakond;Märts;9
2017;Põlva maakond;Märts;2
2017;Pärnu maakond;Märts;12
2017;Rapla maakond;Märts;5
2017;Saare maakond;Märts;5
2017;Tartu maakond;Märts;40
2017;Valga maakond;Märts;7
2017;Viljandi maakond;Märts;4
2017;Võru maakond;Märts;5
2018;Harju maakond;Märts;151
2018;..Tallinn;Märts;151
2018;Hiiu maakond;Märts;0
2018;Ida-Viru maakond;Märts;23
2018;Jõgeva maakond;Märts;4
2018;Järva maakond;Märts;2
2018;Lääne maakond;Märts;4
2018;Lääne-Viru maakond;Märts;6
2018;Põlva maakond;Märts;2
2018;Pärnu maakond;Märts;9
2018;Rapla maakond;Märts;2
2018;Saare maakond;Märts;5
2018;Tartu maakond;Märts;30
2018;Valga maakond;Märts;7
2018;Viljandi maakond;Märts;3
2018;Võru maakond;Märts;2
2019;Harju maakond;Märts;131
2019;..Tallinn;Märts;131
2019;Hiiu maakond;Märts;1
2019;Ida-Viru maakond;Märts;35
2019;Jõgeva maakond;Märts;1
2019;Järva maakond;Märts;6
2019;Lääne maakond;Märts;4
2019;Lääne-Viru maakond;Märts;13
2019;Põlva maakond;Märts;7
2019;Pärnu maakond;Märts;13
2019;Rapla maakond;Märts;3
2019;Saare maakond;Märts;4
2019;Tartu maakond;Märts;29
2019;Valga maakond;Märts;5
2019;Viljandi maakond;Märts;16
2019;Võru maakond;Märts;4
2020;Harju maakond;Märts;121
2020;..Tallinn;Märts;121
2020;Hiiu maakond;Märts;0
2020;Ida-Viru maakond;Märts;31
2020;Jõgeva maakond;Märts;3
2020;Järva maakond;Märts;3
2020;Lääne maakond;Märts;6
2020;Lääne-Viru maakond;Märts;7
2020;Põlva maakond;Märts;2
2020;Pärnu maakond;Märts;10
2020;Rapla maakond;Märts;2
2020;Saare maakond;Märts;6
2020;Tartu maakond;Märts;28
2020;Valga maakond;Märts;2
2020;Viljandi maakond;Märts;4
2020;Võru maakond;Märts;4
2006;Harju maakond;Aprill;132
2006;..Tallinn;Aprill;116
2006;Hiiu maakond;Aprill;2
2006;Ida-Viru maakond;Aprill;46
2006;Jõgeva maakond;Aprill;6
2006;Järva maakond;Aprill;12
2006;Lääne maakond;Aprill;6
2006;Lääne-Viru maakond;Aprill;13
2006;Põlva maakond;Aprill;6
