"ID";Aadress;Täisaadress;Objekti liik;Tase1 kood;Tase1 nimetus;Tase2 kood;Tase2 nimetus;Tase3 kood;Tase3 nimetus;Tase4 kood;Tase4 nimetus;Tase5 kood;Tase5 nimetus;Tase6 kood;Tase6 nimetus;Tase7 kood;Tase7 nimetus;Tase8 kood;Tase8 nimetus;Koodaadress;ADR ID;L-Est X;L-Est Y;N;E;N (dms);E (dms)
2237076;Liu Audru vald Pärnumaa;"Pärnu maakond, Pärnu linn, Liu küla";1;68;Pärnu maakond;624;Pärnu linn;4430;Liu küla;;;;;;;;;;;686244430000000000000000000000000;3020370;6459900;515297;58,27955;24,26074;"58°16'46.37""";"24°15'38.65"""
2237089;1 Rakvere Lääne-Virumaa;"Lääne-Viru maakond, Tapa vald, Tapa linn, Rakvere tee 1";3;60;Lääne-Viru maakond;792;Tapa vald;8140;Tapa linn;;;04N2;Rakvere tee;;;5QKG;1;;;607928140000004N200005QKG00000000;2741786;6570126;613172;59,25438;25,98403;"59°15'15.78""";"25°59'2.49"""
2237125;Kõrgepõllu tee Vana-Võidu Viljandi vald Viljandimaa;"Viljandi maakond, Viljandi vald, Vana-Võidu küla, Kõrgepõllu tee 1";3;84;Viljandi maakond;899;Viljandi vald;9012;Vana-Võidu küla;;;0FWA;Kõrgepõllu tee;;;3RG9;1;;;84899901200000FWA00003RG900000000;3146596;6472195;596561;58,37954;25,65071;"58°22'46.33""";"25°39'2.54"""
2237149;Vana-Kaiu küla Vana-Kaiu Kaiu vald Raplamaa;"Rapla maakond, Rapla vald, Vana-Kaiu küla";1;71;Rapla maakond;668;Rapla vald;8982;Vana-Kaiu küla;;;;;;;;;;;716688982000000000000000000000000;3158272;6539529;561729;58,9903;25,07381;"58°59'25.07""";"25°4'25.71"""
2237156;Sõpruse 95 Kasepää Kasepää vald Jõgevamaa;"Jõgeva maakond, Mustvee vald, Kasepää küla, Sõpruse tn 95";3;50;Jõgeva maakond;486;Mustvee vald;2800;Kasepää küla;;;0KT0;Sõpruse tn;;;5WNQ;95;;;50486280000000KT000005WNQ00000000;3340328;6520954;671076;58,79408;26,96002;"58°47'38.68""";"26°57'36.07"""
2237161;Ristiku tee 3 Tammiste Sauga vald Pärnumaa;"Pärnu maakond, Tori vald, Tammiste küla, Ristiku tee 3";3;68;Pärnu maakond;809;Tori vald;8120;Tammiste küla;;;0C8X;Ristiku tee;;;39EZ;3;;;68809812000000C8X000039EZ00000000;3393920;6471795;534959;58,38522;24,59767;"58°23'6.78""";"24°35'51.60"""
2237165;Jaama 3 Paide Järvamaa;"Järva maakond, Paide linn, Paide linn, Jaama tn 3";3;52;Järva maakond;567;Paide linn;5860;Paide linn;;;0RQT;Jaama tn;;;AWIT;3;;;52567586000000RQT0000AWIT00000000;2668072;6528438;589896;58,88578;25,55916;"58°53'8.82""";"25°33'32.96"""
2237183;Mäeotsa tee 8 Laadi Tahkuranna vald Pärnumaa;"Pärnu maakond, Häädemeeste vald, Laadi küla, Mäeotsa tee 8";3;68;Pärnu maakond;214;Häädemeeste vald;4004;Laadi küla;;;0KCP;Mäeotsa tee;;;3ZGA;8;;;68214400400000KCP00003ZGA00000000;2947910;6458599;534449;58,26678;24,58697;"58°16'0.41""";"24°35'13.11"""
2237202;Side 4 Järlepa Juuru vald Raplamaa;Rapla maakond;1;71;Rapla maakond;000;;;;;;;;;;;;;;710000000000000000000000000000000;3158008;6540823;545880;59,0039;24,79841;"59°0'14.04""";"24°47'54.26"""
2237329;Jüri 2 Pärnu Pärnumaa;"Pärnu maakond, Pärnu linn, Pärnu linn, Jüri tn 2";3;68;Pärnu maakond;624;Pärnu linn;6619;Pärnu linn;;;0SL2;Jüri tn;;;BCTP;2;;;68624661900000SL20000BCTP00000000;3060881;6472558;527426;58,3926;24,46898;"58°23'33.37""";"24°28'8.32"""
