ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress	Aasta
1711456	174000	6	200.5	Keskmine	1990	Lodjapuu tee 23 Pirita Tallinn Harjumaa	2013
1720146	59000	8	181.1	Uus	2007	Kabli Penu Häädemeeste vald Pärnumaa	2013
1721648	60000	5	NA	Keskmine	1993	Paasvere Laekvere vald Lääne-Virumaa	2013
1725280	175000	5	160	Uus	2003	Taludevahe 54 Haabersti Tallinn Harjumaa	2013
1726486	23000	5	129	Vajab san. remonti	1969	Kalda Tõrva Valgamaa	2013
1726636	39900	3	87	Vajab renoveerimist	1978	Hatiku Mammaste Põlva vald Põlvamaa	2013
1727022	58000	3	70	NA	1957	Põllu 2 Turba Nissi vald Harjumaa	2013
1727960	9900	2	96.9	Vajab renoveerimist	1969	Zabava kinnistu Beresje Mikitamäe vald Põlvamaa	2013
1728981	61000	4	NA	Vajab san. remonti	1970	Koreli Võru Võrumaa	2013
1729930	119000	5	105	NA	2005	Kase Urge Kohila vald Raplamaa	2013
1731783	8900	5	96	Vajab renoveerimist	1950	Halliste Halliste vald Viljandimaa	2013
1733209	95000	4	138	NA	2011	Männimäe Laitse Kernu vald Harjumaa	2013
1734613	89000	5	176	Uus	1996	Vahe tee Nõo vald Tartumaa	2013
1734955	44000	4	NA	Uus	2009	 Jõeveere Veriora vald Põlvamaa	2013
1739703	15000	3	29511	Vajab san. remonti	1963	Ruskavere Saare vald Jõgevamaa	2013
1740391	137850	3	88	Uus	2006	Kadaka tee 20 Kulna Keila vald Harjumaa	2013
1742818	64000	6	250	Keskmine	1986	Valgjärve Valgjärve vald Põlvamaa	2013
1742854	46000	4	NA	Keskmine	1950	Mustla Tarvastu vald Viljandimaa	2013
1743170	76900	4	145	Renoveeritud	1964	Loo 4 Rapla Rapla vald Raplamaa	2013
1744380	88000	3	150	Uus	2014	Päikese tee Urge Kohila vald Raplamaa	2013
1745241	180000	3	137	Uus	2011	Lodjapuu 4 Jüri Rae vald Harjumaa	2013
1747597	219000	5	321	Uus	2004	Enelase 20 Tartu Tartumaa	2013
1747885	41000	5	NA	San. remont tehtud	1956	Räpina Räpina vald Põlvamaa	2013
1748485	8.49	5	283	Uus	1998	Mündi 1 Võru Võrumaa	2013
1751528	134500	5	239.5	Renoveeritud	1972	Tamme põik 20 Tammelinn Tartu Tartumaa	2013
1752240	110000	7	NA	Renoveeritud	1995	Kopli 13 Haapsalu Läänemaa	2013
1753143	108000	4	162	Uus	2010	Paruni 37 Ülenurme Ülenurme vald Tartumaa	2013
1761302	140000	4	135	Uus	2010	Tartu 89 Mustvee Jõgevamaa	2013
1762697	179000	6	260	Uus	2010	Ute Lemmatsi Ülenurme vald Tartumaa	2013
1764426	120000.96	6	204	Renoveeritud	1936	Kabala Türi vald Järvamaa	2013
1767394	3200	3	255	Vajab renoveerimist	1972	Viluste Veriora vald Põlvamaa	2013
1767935	5220	1	15	Uus	2013	Palkmaja Palkmaja Muhu vald Saaremaa	2013
1768795	219000	5	321	Uus	2004	Enelase Soinaste Ülenurme vald Tartumaa	2013
1769498	11500	24	726	Vajab renoveerimist	1950	Mõisa 3 Ervita Koeru vald Järvamaa	2013
1773489	240000	4	118	Uus	2006	Sääsevaba Sava Luunja vald Tartumaa	2013
1773851	140000	5	270	Keskmine	2001	Katku Mõhküla Põltsamaa vald Jõgevamaa	2013
1779590	242860	6	150	Renoveeritud	1975	  Voo Nõmme Tallinn Harjumaa	2013
1779701	137000	5	260	NA	2007	Kallavere tee 23 Maardu Harjumaa	2013
1780851	110000	6	280	Uus	1995	Kõik on valmis tule ja ela Kubija Oksa tn.  Võru Võrumaa	2013
1785458	222000	5	208	Uus	2008	Haavakannu tee 19 Rahinge Tähtvere vald Tartumaa	2013
1788743	89900	6	267.5	Keskmine	1985	Elva Tartumaa	2013
1788941	144900	5	156	Uus	2006	Sügiskünni Türisalu Harku vald Harjumaa	2013
1789350	39900	2	65	Renoveeritud	2010	Nõela tn. 18 Aespa Kohila vald Raplamaa	2013
1790186	129000	4	NA	Uus	2009	Sipelga Räni Ülenurme vald Tartumaa	2013
1791391	6400	2	50	Vajab renoveerimist	1920	Võõpsu Räpina vald Põlvamaa	2013
1792358	172200	3	210	NA	2007	Suur Kaare tee 70 Pärnamäe Viimsi vald Harjumaa	2013
1792495	16000	3	70	NA	2008	Tallinn Rapla Purila Kuusiku Sauna Kuku Rapla vald Raplamaa	2013
1794430	62500	3	NA	Uus	2000	Linnujaama Lao Tõstamaa vald Pärnumaa	2013
