PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor
Viru lastud;Viru;H;lastud;A;O;1;9;3;45442;0.000594163989261036;41.00045891451737
Järva praegune;Järva;H;praegune;A;O;1;3;9;45442;0.000594163989261036;41.00045891451737
Poola kuulus;Poola;H;kuulus;A;O;1;3;9;45442;0.000594163989261036;41.00045891451737
Vene säälne;Vene;H;säälne;A;O;1;28;1;45442;0.0006161700629373707;40.260764866040915
Vene ustav;Vene;H;ustav;A;O;1;28;1;45442;0.0006161700629373707;40.260764866040915
Kose madal;Kose;H;madal;A;O;1;4;7;45442;0.0006161700629373707;40.260764866040915
Harju kihutanud;Harju;H;kihutanud;A;O;1;7;4;45442;0.0006161700629373707;40.260764866040915
Liivi suur;Liivi;H;suur;A;O;8;15;119;45442;0.039280841512257386;40.166307747170286
Kuimetsa varjamata;Kuimetsa;H;varjamata;A;O;1;29;1;45442;0.0006381761366137053;39.55965312559649
Kuimetsa teadev;Kuimetsa;H;teadev;A;O;1;29;1;45442;0.0006381761366137053;39.55965312559649
Kuimetsa tuldud;Kuimetsa;H;tuldud;A;O;1;29;1;45442;0.0006381761366137053;39.55965312559649
Kuimetsa kullatud;Kuimetsa;H;kullatud;A;O;1;29;1;45442;0.0006381761366137053;39.55965312559649
Kuimetsa surelik;Kuimetsa;H;surelik;A;O;1;29;1;45442;0.0006381761366137053;39.55965312559649
Kuimetsa kõikumata;Kuimetsa;H;kõikumata;A;O;1;29;1;45442;0.0006381761366137053;39.55965312559649
Kuimetsa seisav;Kuimetsa;H;seisav;A;O;1;29;1;45442;0.0006381761366137053;39.55965312559649
Kuimetsa soovitav;Kuimetsa;H;soovitav;A;O;1;29;1;45442;0.0006381761366137053;39.55965312559649
Kuimetsa peetav;Kuimetsa;H;peetav;A;O;1;29;1;45442;0.0006381761366137053;39.55965312559649
Pirita valitsev;Pirita;H;valitsev;A;O;1;16;2;45442;0.0007041943576427094;37.65717998196835
