Aasta;Maakond;Juhendaja_haridus;Arv
2012;Lääne-Viru maakond;Kõrgharidus;65
2012;Põlva maakond;Kõrgharidus;26
2012;Pärnu maakond;Kõrgharidus;63
2012;Rapla maakond;Kõrgharidus;52
2012;Saare maakond;Kõrgharidus;30
2012;Tartu maakond;Kõrgharidus;111
2012;Valga maakond;Kõrgharidus;5
2012;Viljandi maakond;Kõrgharidus;40
2012;Võru maakond;Kõrgharidus;94
2013;Harju maakond;Kõrgharidus;190
2013;Hiiu maakond;Kõrgharidus;18
2013;Ida-Viru maakond;Kõrgharidus;12
2013;Jõgeva maakond;Kõrgharidus;12
2013;Järva maakond;Kõrgharidus;26
2013;Lääne maakond;Kõrgharidus;37
2013;Lääne-Viru maakond;Kõrgharidus;65
2013;Põlva maakond;Kõrgharidus;27
2013;Pärnu maakond;Kõrgharidus;62
2013;Rapla maakond;Kõrgharidus;51
2013;Saare maakond;Kõrgharidus;30
2013;Tartu maakond;Kõrgharidus;110
2013;Valga maakond;Kõrgharidus;5
2013;Viljandi maakond;Kõrgharidus;40
2013;Võru maakond;Kõrgharidus;94
2014;Harju maakond;Kõrgharidus;190
2014;Hiiu maakond;Kõrgharidus;17
2014;Ida-Viru maakond;Kõrgharidus;12
2014;Jõgeva maakond;Kõrgharidus;12
2014;Järva maakond;Kõrgharidus;25
2014;Lääne maakond;Kõrgharidus;35
2014;Lääne-Viru maakond;Kõrgharidus;65
2014;Põlva maakond;Kõrgharidus;30
2014;Pärnu maakond;Kõrgharidus;62
2014;Rapla maakond;Kõrgharidus;51
2014;Saare maakond;Kõrgharidus;33
2014;Tartu maakond;Kõrgharidus;109
2014;Valga maakond;Kõrgharidus;5
2014;Viljandi maakond;Kõrgharidus;40
2014;Võru maakond;Kõrgharidus;94
2015;Harju maakond;Kõrgharidus;187
2015;Hiiu maakond;Kõrgharidus;18
2015;Ida-Viru maakond;Kõrgharidus;12
2015;Jõgeva maakond;Kõrgharidus;15
2015;Järva maakond;Kõrgharidus;25
2015;Lääne maakond;Kõrgharidus;38
2015;Lääne-Viru maakond;Kõrgharidus;59
2015;Põlva maakond;Kõrgharidus;32
2015;Pärnu maakond;Kõrgharidus;64
2015;Rapla maakond;Kõrgharidus;55
2015;Saare maakond;Kõrgharidus;35
