koht	pealkiri	aasta	žanr
Antarktika	Kontinent kõigile	1969	Dokumentaalfilm, Populaarteaduslik film
Anti-Atlase mäed (Maroko)	Maroko, Agadir...	1981	Amatöörfilm, Kroonika
Antigua (saar Kariibi meres)	Montreali Vikerlased ja Toronto Virulased		 Amatöörfilm | Režissöör: Harri Kivilo
Antkruva küla (Võrumaa)	Kuningas üheks päevaks	2002	Dokumentaalfilm, Antropoloogiafilm
Ants Laikmaa tänav (Tallinn)	Kajaka teoreem	2014	Dokumentaalfilm, Loodusfilm
Ants Laikmaa tänav (Tallinn)	Tallinna trammi juubel	1963	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Ants Lauteri tänav (Tallinn)	Kongressist kongressini	1966	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Antsla (Võrumaa)	Keelatud vili	2011	Dokumentaalfilm
Antsla (Võrumaa)	Täitsa lõpp	2011	Mängufilm, Täispikk mängufilm
Antsla (Võrumaa)	Monument	2008	Dokumentaalfilm
Antsla (Võrumaa)	Ursula kisub tantsule	2007	Dokumentaalfilm, Muusikadokumentaal
Antsla (Võrumaa)	Antsla. Sügis 1993	1993	Dokumentaalfilm
Antsla (Võrumaa)	Võru 200. aastapäeva ja Saksa okupatsioonist vabastamise 40. aastapäeva pidustused	1984	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Antsla (Võrumaa)	Narri põldu üks kord...	1981	Dokumentaalfilm, Probleemfilm
Antsla (Võrumaa)	Esimehed	1980	Dokumentaalfilm
Antsla (Võrumaa)	Kui siit pilvepiirilt…	1970	Dokumentaalfilm, Vaatefilm
Antsla (Võrumaa)	Komsomoliretk	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Antsla panoraamvaated (Võrumaa)	Eesti linnu - Antsla	1939	Filmikroonika, Kroonikafilmid 1912-1940 I pool
Antverpen (Belgia)	Eesti olümpial	1990	Dokumentaalfilm, Olukirjeldusfilm
Apatitõ (Venemaa)	Surematu	2019	Dokumentaalfilm
